model,ARC-AGI-2,Humanitys_Last_Exam,MMLU_Pro
Claude Opus 4.1,,,
DeepSeek-V2,,,
GLM-4,,,
GPT-5,,,
Gemini 2.5 Pro,,,
Grok 4,,,
Qwen2-72B,,,
